id_sede,ruc,razon_social,nombre_comercial,direccion,distrito,provincia,departamento,coordenadas_gps,confidence,score,query,formatted_address,location_type,reasons
60,10431625461,ARHUIS VELASQUEZ WILLIAM,DENTAL AURHUIS,AV LOS OLIVOS MZ U LT 21- LA MOLINA,LA MOLINA,LIMA,LIMA,"-12.096416,-76.941049",high,78,"ARHUIS VELASQUEZ WILLIAM, AV LOS OLIVOS MZ U LT 21- LA MOLINA, Perú","W335+CHP, Av. los Olivos, Lima 15024, Perú",ROOFTOP,location_type=ROOFTOP; establishment result; partial_match; province match; address token match; business-name candidate
62,20606909749,PHARVET CORPORATION G & M E.I.R.L.,PHARVET CORPORATION,MZA. B LOTE. 25 URB. LAS VIÑAS DE OQUENDO,CALLAO,CALLAO,LIMA,"-11.974075,-77.118853",low,16,"MZA. B LOTE. 25 URB. LAS VIÑAS DE OQUENDO, CALLAO, Perú","Urb las Viñas de Oquendo, Callao 07031, Perú",APPROXIMATE,location_type=APPROXIMATE; partial_match; district match; address token match
67,10441897974,DORIS HAYDEE MONSALVE RAMIREZ,LABORATORIO CLINICO G&M,AV CENTRAL MZ 81A LTE 16 2°PISO AAHH ENRIQUE MILLA OCHOA- LOS OLIVOS,LOS OLIVOS,LIMA,LIMA,"-12.004440,-77.063253",low,40,"LABORATORIO CLINICO G&M, LOS OLIVOS, Perú","Los Olivos 15302, Perú",GEOMETRIC_CENTER,location_type=GEOMETRIC_CENTER; establishment result; partial_match; district match
68,10258420514,BONZANO SALAZAR GADDY JACQUELINE,CLINICA DENTAL BONZANO,Misioneros Salas 465 Ciudad satélite Santa Rosa - Callao,CALLAO BELLAVISTA,LIMA,LIMA,"-12.013954,-77.101981",high,75,"Misioneros Salas 465 Ciudad satélite Santa Rosa - Callao, CALLAO BELLAVISTA, Perú","Misionero Salas 465, Callao 07036, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; locality mismatch; address token match
73,10410545573,NAPURI REJAS FERNANDO ISIDORO,NAPURI REJAS FERNANDO ISIDORO,C.P ETAPA III MZ 47 LOTE 1- PUEBLO NUEVO-CHINCHA-ICA,CHINCHA,CHINCHA,ICA,"-13.398034,-76.131089",low,6,"NAPURI REJAS FERNANDO ISIDORO, C.P ETAPA III MZ 47 LOTE 1- PUEBLO NUEVO-CHINCHA-ICA, Perú","1, 11703, Perú",APPROXIMATE,location_type=APPROXIMATE; partial_match; district match
75,10406765038,DENISS VANESSA CUBA CASTILLO,SMILE EXPERTS,JR JOSE GALVEZ 2DO PISO 343,MAGDALENA,LIMA,LIMA,"-12.080038,-77.029763",low,34,"JR JOSE GALVEZ 2DO PISO 343, MAGDALENA, Perú","Jr. José Gálvez, Lima 15046, Perú",GEOMETRIC_CENTER,location_type=GEOMETRIC_CENTER; route result; partial_match; province match; address token match
84,15604792085,CALZADILLA HUDSON YESLANY MARENY,Pacimedic,Antunes de Mayolo 1789 smp,SAN MARTIN DE PORRES,LIMA,LIMA,"-11.996653,-77.085832",high,95,"Antunes de Mayolo 1789 smp, SAN MARTIN DE PORRES, Perú","Av. Santiago Antunez de Mayolo 1789, Lima 15108, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; province match; address token match
85,10452066829,VIDALON ROMO LUZ MARISELA,Clínica veterinaria Juan Pablo II,Av Pérez salmón mz i lote 42 Urb. Juan Pablo II CALLAO,CALLAO BELLAVISTA,CALLAO,LIMA,"-12.053454,-77.116245",low,39,"Clínica veterinaria Juan Pablo II, Av Pérez salmón mz i lote 42 Urb. Juan Pablo II CALLAO, CALLAO BELLAVISTA, Perú","07001, Callao 07001, Perú",GEOMETRIC_CENTER,location_type=GEOMETRIC_CENTER; establishment result; partial_match; province match; business-name candidate
86,10428294063,CCOLCCA MITMA FELY JUANA,CCOLCCA MITMA FELY JUANA,CHINCHA,CHINCHA,CHINCHA,CHINCHA,"-13.425530,-76.136711",low,-1,"CHINCHA, Perú","Chincha Alta 11702, Perú",APPROXIMATE,location_type=APPROXIMATE; locality-only result; district match
88,10256547088,DEL PINO MENDOZA ERNESTO HUMBERTO,Diagnóstics,Av Perú 3803 - San Martin de Porres,SAN MARTIN DE PORRES,LIMA,LIMA,"-12.030650,-77.090036",high,85,"Av Perú 3803 - San Martin de Porres, Perú","Av. Perú 3803, Callao 15106, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; province match
94,20602481116,CORPORACION CLASAM EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,Clasam salud,Av ELMER FAUCETT 1670 - CALLAO,CALLAO BELLAVISTA,CALLAO,LIMA,"-12.060872,-77.097043",high,95,"Av ELMER FAUCETT 1670 - CALLAO, CALLAO BELLAVISTA, Perú","Av. Elmer Faucett 1670, Bellavista 15088, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; province match; address token match
104,10444370772,JOB MANUEL ALBERCA ROMERO,DENTAL DR. JOB,AV ANTISUYO 402 SEGUNDO PISO - INDEPENDENCIA,INDEPENDENCIA,LIMA,LIMA,"-11.979343,-77.046317",high,77,"AV ANTISUYO 402 SEGUNDO PISO - INDEPENDENCIA, Perú","Av Antisuyo 402, Lima 15331, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; partial_match; province match; address token match
106,20606479311,SERVICIOS GENERALES DE SALUD SANTA FE DEL SUR E.I.R.L.,Santa fe,JR. BOLOGNESI NRO. 253B URB Boulevard de Lurin.- LURIN,LURIN,LIMA,LIMA,"-12.274618,-76.869624",medium,67,"JR. BOLOGNESI NRO. 253B URB Boulevard de Lurin.- LURIN, Perú","Jr. Bolognesi 253a, Lima 15823, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; partial_match; province match
112,10707368387,CRUZ AGURTO JORGE EDUARDO,Veterinaria ENMAVET,"Av.Jose Saco Rojas - Parcela 2A Fundo Santa Inés ,Carabayllo",CARABAYLLO,LIMA,LIMA,"-11.862105,-77.055782",low,40,"Veterinaria ENMAVET, CARABAYLLO, Perú","Paradero Haras, Av. San Juan de Dios, Carabayllo 15121, Perú",GEOMETRIC_CENTER,location_type=GEOMETRIC_CENTER; establishment result; partial_match; district match
113,20600600967,CONSULTORIO DENTAL JHON DENT E.I.R.L.,Odontoliam,AV.ANTUNEZ DE MAYOLO 854 LOS OLIVOS,LOS OLIVOS,LIMA,LIMA,"-11.992702,-77.071756",high,95,"AV.ANTUNEZ DE MAYOLO 854 LOS OLIVOS, Perú","Av. Santiago Antunez de Mayolo 854, Lima 15301, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; province match; address token match
119,10033804364,CABALLERO NUÑEZ GUILLERMO ENRIQUE,CLINICA DENTAL ARMONIA,Av. Alfredo Mendiola 5559 Los Olivos,LOS OLIVOS,LIMA,LIMA,"-11.970194,-77.067801",high,95,"Av. Alfredo Mendiola 5559 Los Olivos, Perú","Av. Alfredo Mendiola 5559, Lima 15304, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; province match; address token match
120,10731763416,Bastidas Benites Alejandro Jaime Leonardo,Veterinaria Médica Pets,JR. Sao Paulo 1707- SAN MARTIN DE PORRES,SAN MARTIN DE PORRES,LIMA,LIMA,"-12.030862,-77.063463",high,82,"JR. Sao Paulo 1707- SAN MARTIN DE PORRES, Perú","Jr. Sao Paulo 1707, Lima 15101, Perú",RANGE_INTERPOLATED,location_type=RANGE_INTERPOLATED; street/premise result; province match; address token match
122,20612548430,MEDICVET INTEGRATIVA SAC,Clinica veterinaria Aristocat,AV. UNIVERSITARIA MZA. B LOTE. 14 INT. 14 URB. PINARES (CC LOS OLIVOS,LOS OLIVOS,LIMA,LIMA,"-11.995441,-77.083805",high,79,"Clinica veterinaria Aristocat, LOS OLIVOS, Perú","Av. Santiago Antunez de Mayolo 1650, Lima 15301, Perú",ROOFTOP,location_type=ROOFTOP; establishment result; province match
123,10097480465,Sofia marivel hidalgo cruz,Sofia marivel hidalgo cruz,av.Jose c mariategui mz C lot 23 Estrella solar carabayllo,CARABAYLLO,LIMA,LIMA,"-11.993133,-77.110306",medium,67,"av.Jose c mariategui mz C lot 23 Estrella solar carabayllo, Perú","Manzana C Lote 23, San Martín de Porres 15112, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; partial_match; province match
131,20608086596,AGVET S.A.C.,AGVET,"A. H. Sol Radiante Mz B Lt 05, distrito de Cieneguilla",CIENEGUILLA,LIMA,LIMA,"-12.085162,-76.871510",low,-2,"AGVET, A. H. Sol Radiante Mz B Lt 05, distrito de Cieneguilla, Perú","B, 15594, Perú",APPROXIMATE,location_type=APPROXIMATE; partial_match; province match
132,10754057195,Rodriguez Ibarra Alondra,Alorella Dent,Calle corales 320 La Perla,CALLAO BELLAVISTA,CALLAO,LIMA,"-12.065861,-77.114518",high,95,"Calle corales 320 La Perla, CALLAO BELLAVISTA, CALLAO, Perú","Corales 320, La Perla 07011, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; province match; address token match
134,20609789582,Sociedad teomil sac,multident sede villasol,Jr. armando blondet 255 - 2 piso - los olivos.,LOS OLIVOS,LIMA,LIMA,"-11.966089,-77.071360",high,77,"Jr. armando blondet 255 - 2 piso - los olivos., Perú","2 piso, Jr, Av. Armando Blondet 255, Lima 15304, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; partial_match; province match; address token match
136,20610621491,VL ODONTOLOGOS ASOCIADOS S.A.C.,DENTALIMA,"Av Antúnez de Mayolo 859 - 2do piso, Los Olivos",LOS OLIVOS,LIMA,LIMA,"-11.992568,-77.071185",high,95,"Av Antúnez de Mayolo 859 - 2do piso, Los Olivos, Perú","2do piso, Av. Santiago Antunez de Mayolo 859, Lima 15301, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; province match; address token match
140,10747358724,JUAN ANGEL PAUCAR ESTRELLA,PAES DENT,CALLE LOS EUCALIPTOS MZ B LT 28 ASOC DE VIV VILLA SANTA MARÍA CARABAYLLO,CARABAYLLO,LIMA,LIMA,"-11.981881,-77.108019",high,77,"CALLE LOS EUCALIPTOS MZ B LT 28 ASOC DE VIV VILLA SANTA MARÍA CARABAYLLO, Perú","Calle Los Eucaliptos Mz.B - Lt.28, San Martín de Porres 15112, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; partial_match; province match; address token match
142,20538031993,ASISTENCIA ODONTOLOGICA ESPECIALIZADA SOCIEDAD ANONIMA CERRADA S.A.C.,ASIS DENT,AV. ABANCAY N° 256 OFICJNA 202. CERCADO DE LIMA,CERCADO DE LIMA,LIMA,LIMA,"-12.047780,-77.027037",high,77,"AV. ABANCAY N° 256 OFICJNA 202. CERCADO DE LIMA, Perú","Oficina 202, Av. Abancay 256, Lima 15001, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; partial_match; province match; address token match
146,20602429106,VETERINARIA & SPA HAPPY CAN S.A.C.,VETERINARIA & SPA HAPPY CAN S.A.C.,jirón madre selva 341 urb santa Isabel carabayllo,CARABAYLLO,LIMA,LIMA,"-11.903478,-77.041692",medium,68,"VETERINARIA & SPA HAPPY CAN S.A.C., jirón madre selva 341 urb santa Isabel carabayllo, Perú","Av. Universitaria 10357, Comas 15316, Perú",ROOFTOP,location_type=ROOFTOP; establishment result; partial_match; province match; business-name candidate
156,20609872862,CARRILLO & SALAS DENT SOCIEDAD ANONIMA CERRADA,CONSULTORIO DENTAL C & S,JR San Agustín 1185 surquillo,SURQUILLO,LIMA,LIMA,"-12.115265,-77.016269",high,95,"JR San Agustín 1185 surquillo, Perú","Jr. San Agustín 1185, Lima 15048, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; province match; address token match
157,20600957300,SERVICIOS Y NEGOCIOS VETERINARIOS EL ALISO E.I.R.L.,VETERINARIA EL ALISO,Urb. Los Jardines de Naranjal Mz D Lte 16 -SAN MARTIN DE PORRES,SAN MARTIN DE PORRES,LIMA,LIMA,"-11.981761,-77.096296",high,89,"VETERINARIA EL ALISO, SAN MARTIN DE PORRES, Perú","Mz D Lt. 16, Urb. Los Jardines de Naranjal, Lima LIMA 31, Perú",ROOFTOP,location_type=ROOFTOP; establishment result; province match; address token match
158,20508181796,SERVICIOS MEDICOS INTEGRALES FAMISALUD SAC,SERVICIOS MEDICOS INTEGRALES FAMISALUD SAC,CALLE AYACUCHO 270 - PISCO,CHINCHA PISCO,PISCO,ICA,"-13.708787,-76.201263",high,77,"CALLE AYACUCHO 270 - PISCO, CHINCHA PISCO, ICA, Perú","C. Ayacucho 270, Pisco 11601, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; partial_match; province match; address token match
161,10420382745,PAREJA MALDONADO FERNANDO,Consultorio Médico San José,Avenida Federico Fernandini Mz A Lote 1B Fundó la chalaca.,CALLAO,LIMA,LIMA,"-12.056928,-77.128848",low,42,"Avenida Federico Fernandini Mz A Lote 1B Fundó la chalaca., CALLAO, Perú","Av. Federico Fernandini, Callao, Perú",GEOMETRIC_CENTER,location_type=GEOMETRIC_CENTER; route result; partial_match; district match; address token match
162,10466880405,HUAPAYA PARDAVE MARIA DEL CARMEN,Huapadent,Avenida belaunde oeste 330 segundo piso Comas,COMAS,LIMA,LIMA,"-11.938667,-77.051922",high,77,"Avenida belaunde oeste 330 segundo piso Comas, Perú","Av. Victor Andrés Belaunde 330, LIMA 15312, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; partial_match; province match; address token match
168,10466030517,GRIMALDO PAREDES YOHANNA LESLIE,Grimaldo's Dent,Calle 27 d octubre mz.b1 lt a2 urb. Las virreynas - LURIN,LURIN,LIMA,LIMA,"-12.274080,-76.871916",low,8,"Calle 27 d octubre mz.b1 lt a2 urb. Las virreynas - LURIN, Perú","A.h las Virreynas, Lima 15823, Perú",APPROXIMATE,location_type=APPROXIMATE; partial_match; province match; address token match
172,10106357477,Ursula Lidia Pérez Benito,CONSULTORIO ODONTOLOGICO,Av. paseo de la República prolongación Mz. B-01 LT 19 Urbanización Paseo de la República chorrillos,CHORRILLOS,LIMA,LIMA,"-12.127263,-77.005278",high,79,"CONSULTORIO ODONTOLOGICO, CHORRILLOS, Perú","C/ Teniente Raúl Vera Collahuanzo 165, Lima 15048, Perú",ROOFTOP,location_type=ROOFTOP; establishment result; province match
179,10417554691,Fiorella Quineche Andrade,Centro odontológico Qhalident,Av. Hipólito unanue #218 2 do piso Callao,CALLAO BELLAVISTA,LIMA,LIMA,"-12.051237,-77.093069",medium,64,"Av. Hipólito unanue #218 2 do piso Callao, CALLAO BELLAVISTA, Perú","Av. Hipolito Unanue 218, Lima 07006, Perú",RANGE_INTERPOLATED,location_type=RANGE_INTERPOLATED; street/premise result; partial_match; province match; address token match
181,20610943846,"CENTRO DE CIRUGÍAS, DIAGNÓSTICO, FARMACIA Y DESARROLLO PROFESIONAL VETERINARIO LOPEZ Y QUISPE S.A.C.",Clínica Veterinaria Koala,"AV. IZAGUIRRE , CARLOS ALBERTO MZA. A ASC. SAN FRANCISCO LIMA - SAN MARTIN DE PORRES",SAN MARTIN DE PORRES,LIMA,LIMA,"-12.045656,-77.026905",medium,68,"Clínica Veterinaria Koala, AV. IZAGUIRRE , CARLOS ALBERTO MZA. A ASC. SAN FRANCISCO LIMA - SAN MARTIN DE PORRES, Perú","XX3F+P6Q, Jr. Lampa, Lima 15001, Perú",ROOFTOP,location_type=ROOFTOP; establishment result; partial_match; province match; business-name candidate
183,20602364128,ANIMAL CLINIC PERU E.I.R.L.,ANIMAL CLINIC,AV.ALAMEDA DE LOS CEDROS 486 URB. CEDROS DE VILLA-CHORRILLOS,CHORRILLOS,LIMA,LIMA,"-12.205353,-77.012802",high,82,"AV.ALAMEDA DE LOS CEDROS 486 URB. CEDROS DE VILLA-CHORRILLOS, Perú","Av. Alameda Los Cedros 486, Lima 15067, Perú",RANGE_INTERPOLATED,location_type=RANGE_INTERPOLATED; street/premise result; province match; address token match
184,20551879837,HEALTHY PETS E.I.R.L.,VETERINARIA HEALTHY PETS,Av. Luis braille 1477- 1479 Urb. La Trinidad - Cercado de Lima,CERCADO DE LIMA,LIMA,LIMA,"-12.053335,-77.066612",high,77,"Av. Luis braille 1477- 1479 Urb. La Trinidad - Cercado de Lima, Perú","1479, Av. Luis Braille 1477, Lima 15081, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; partial_match; province match; address token match
190,20601731496,CONSULTORIO ODONTOLOGICO MATISDENT SAC,CONSULTORIO ODONTOLOGICO MATISDENT,MZ D LTE 14 PJ JAVIER HERAUD,SAN JUAN DE MIRAFLORES,LIMA,LIMA,"-11.998307,-76.912979",medium,51,"MZ D LTE 14 PJ JAVIER HERAUD, Perú","L1, Lurigancho-Chosica 15461, Perú",ROOFTOP,location_type=ROOFTOP; establishment result; partial_match; province match; address tokens absent
195,20552217587,LMARVET S.A.C.,Clinica Veterinaria House Pet,Av. Zarumilla 777 SMP,SAN MARTIN DE PORRES,LIMA,LIMA,"-12.034185,-77.052277",high,95,"Av. Zarumilla 777 SMP, SAN MARTIN DE PORRES, Perú","Av. Zarumilla 777, Lima 15101, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; province match; address token match
197,20602088317,Servicios veterinarios BERIRG S.A.C.,GOLDEN BARK PET,Av La Merced 868 - 870,SURCO,LIMA,LIMA,"-12.135487,-77.010208",high,95,"Av La Merced 868 - 870, SURCO, Perú","870, Av. La Merced 868, Lima 33, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; province match; address token match
198,10461718987,JAVE YUPANQUI ERICK JAVIER,Style Dent,Av Condorcanqui Mz N Lt A-6 - CARABAYLLO,CARABAYLLO,LIMA,LIMA,"-11.885894,-77.028078",low,47,"Style Dent, Av Condorcanqui Mz N Lt A-6 - CARABAYLLO, Perú","Los Crisantemos, Carabayllo 15318, Perú",GEOMETRIC_CENTER,location_type=GEOMETRIC_CENTER; establishment result; partial_match; district match; business-name candidate
202,20605669591,SONRISAS SERVICIOS DENTALES S.A.C.,Dr Sonrisa,Av Elmer Faucett 1651,CALLAO BELLAVISTA,CALLAO,LIMA,"-12.060738,-77.097609",high,85,"Av Elmer Faucett 1651, CALLAO BELLAVISTA, CALLAO, Perú","Auxiliar 1651, Bellavista 07011, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; province match
204,20603249985,2NT SERVICIOS GENERALES SAC,Happy Pet House,JR.DIEGO DE ALMAGRO 280,JESUS MARIA,LIMA,LIMA,"-12.064378,-76.945840",high,95,"JR.DIEGO DE ALMAGRO 280, JESUS MARIA, Perú","Jr. Diego de Almagro 280, Lima 15012, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; province match; address token match
206,10218571871,YVONNE OLIVIA OLIVARES TAIPE,DENTAL LA LUZ,CALLE 29 MZ R LT 13 EL PINAR,COMAS,0,LIMA,"-11.940562,-77.077229",low,24,"YVONNE OLIVIA OLIVARES TAIPE, CALLE 29 MZ R LT 13 EL PINAR, COMAS, 0, Perú","Los Principios, Los Olivos 15307, Perú",GEOMETRIC_CENTER,location_type=GEOMETRIC_CENTER; route result; partial_match; province match
207,10709810834,SILVA TUMBA JORDAN,ODONTOSTUDIO,JR SAN ROMAN MZ F LT 14 - LURIN,LURIN,LIMA,LIMA,"-12.128506,-77.004724",medium,61,"ODONTOSTUDIO, LURIN, Perú","Av. Alfredo Benavides 2838, Miraflores 15074, Perú",ROOFTOP,location_type=ROOFTOP; establishment result; partial_match; province match
210,10094084089,ACHANCARAY ROJAS WILFREDO,LA CASITA DE LAS MASCOTAS,Av los Quechuas 232 Salamanca - ate,ATE,LIMA,LIMA,"-12.073867,-76.987437",high,95,"Av los Quechuas 232 Salamanca - ate, Perú","Av. Los Quechuas 232, Lima 15022, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; province match; address token match
212,10413218158,TUNY GALLARDO MARIO VLADIMIR,Integral Dent Plus,JR AGUARICO 514 - BREÑA,BREÑA,LIMA,LIMA,"-12.053367,-77.050604",high,77,"JR AGUARICO 514 - BREÑA, Perú","Av Aguarico 514, Lima 15082, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; partial_match; province match; address token match
216,10722058181,CESAR PHOL CASAVILCA SIMON,veterinaria GAVET,AV AYACUCHO MZ D16 LT 16 MI PERU,VENTANILLA,CALLAO,LIMA,"-11.856808,-77.124942",high,78,"veterinaria GAVET, AV AYACUCHO MZ D16 LT 16 MI PERU, VENTANILLA, CALLAO, Perú","MZ D16 Lote 16, Av. Ayacucho, Mi Perú 07056, Perú",ROOFTOP,location_type=ROOFTOP; establishment result; partial_match; province match; address token match; business-name candidate
217,10256110119,MARIA ELENA MATUTE MIKULAK,veterinaria matute,LOS EUCALIPTOS 504,CALLAO BELLAVISTA,CALLAO,LIMA,"-12.058123,-77.098006",high,78,"veterinaria matute, LOS EUCALIPTOS 504, CALLAO BELLAVISTA, CALLAO, Perú","Av. los Eucaliptos 504, Bellavista 07011, Perú",ROOFTOP,location_type=ROOFTOP; establishment result; partial_match; province match; address token match; business-name candidate
218,10408896334,RANILLA VALENTE GUISSELLA IVETTE,Dental,Calle loma andina 124 - SURCO,SURCO,LIMA,LIMA,"-12.132608,-76.985971",high,95,"Calle loma andina 124 - SURCO, Perú","Loma Andina 124, Lima 15039, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; province match; address token match
221,20611638931,AntoFabri VS SAC,VesaVet,Calle Luis Espejo 1087 Santa Catalina La Victoria,LA VICTORIA,LIMA,LIMA,"-12.083495,-77.014806",high,95,"Calle Luis Espejo 1087 Santa Catalina La Victoria, Perú","C. Luis Espejo 1087, Lima 15034, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; province match; address token match
225,10423137563,APONTE SOLANO CLAUDIA HERLINDA,Centro odontológico,Av. 26 de julio #186 Urb San Pablo 1era etapa - SAN LUIS,SAN LUIS,LIMA,LIMA,"-12.062891,-76.997887",high,77,"Av. 26 de julio #186 Urb San Pablo 1era etapa - SAN LUIS, Perú","Av. 26 de Julio 186, El Agustino 15019, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; partial_match; province match; address token match
227,15603657109,DE ABREU BECERRA DIANA CLARA,The Pet King,"Jirón camino real 379, Santiago de surco",SURCO,LIMA,LIMA,"-12.151706,-77.012852",high,95,"Jirón camino real 379, Santiago de surco, Perú","Jirón Camino Real 379, Lima 15063, Perú",ROOFTOP,location_type=ROOFTOP; street/premise result; province match; address token match
